0,3
0.01,3
0.02,3
0.03,3
0.04,3
0.05,3
0.06,3.01
0.07,3.02
0.08,3.04
0.09,3.08
0.1,3.16
0.11,3.24
0.12,3.30
0.13,3.32
0.14,3.33
0.15,3.33
0.16,3.33
0.17,3.33
0.18,3.33
0.19,3.33
0.2,3.33
0.21,3.33
0.22,3.33
0.23,3.33
0.24,3.33
0.25,3.325
0.26,3.32
0.27,3.315
0.28,3.31
0.29,3.305
0.3,3.3
0.31,3.29
0.32,3.27
0.33,3.25
0.34,3.25
0.35,3.25
0.36,3.25
0.37,3.255
0.38,3.26
0.39,3.27
0.4,3.28
0.41,3.29
0.42,3.3
0.43,3.31
0.44,3.32
0.45,3.33
0.46,3.34
0.47,3.36
0.48,3.38
0.49,3.41
0.5,3.44
0.51,3.48
0.52,3.52
0.53,3.56
0.54,3.6
0.55,3.64
0.56,3.68
0.57,3.7
0.58,3.72
0.59,3.74
0.6,3.76
0.61,3.78
0.62,3.81
0.63,3.82
0.64,3.84
0.65,3.86
0.66,3.88
0.67,3.9
0.68,3.91
0.69,3.915
0.7,3.92
0.71,3.925
0.72,3.93
0.73,3.9325
0.74,3.935
0.75,3.9375
0.76,3.94
0.77,3.9425
0.78,3.945
0.79,3.9475
0.8,3.95
0.81,3.9525
0.82,3.955
0.83,3.9575
0.84,3.96
0.85,3.9625
0.86,3.965
0.87,3.9675
0.88,3.97
0.89,3.9725
0.9,3.975
0.91,3.9775
0.92,3.98
0.93,3.9825
0.94,3.985
0.95,3.9875
0.96,3.99
0.97,3.9925
0.98,3.995
0.99,3.9975
1,4
